"GEO_ID","NAME","B25044_001E","B25044_001M","B25044_002E","B25044_002M","B25044_003E","B25044_003M","B25044_004E","B25044_004M","B25044_005E","B25044_005M","B25044_006E","B25044_006M","B25044_007E","B25044_007M","B25044_008E","B25044_008M","B25044_009E","B25044_009M","B25044_010E","B25044_010M","B25044_011E","B25044_011M","B25044_012E","B25044_012M","B25044_013E","B25044_013M","B25044_014E","B25044_014M","B25044_015E","B25044_015M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied:","Margin of Error!!Total:!!Owner occupied:","Estimate!!Total:!!Owner occupied:!!No vehicle available","Margin of Error!!Total:!!Owner occupied:!!No vehicle available","Estimate!!Total:!!Owner occupied:!!1 vehicle available","Margin of Error!!Total:!!Owner occupied:!!1 vehicle available","Estimate!!Total:!!Owner occupied:!!2 vehicles available","Margin of Error!!Total:!!Owner occupied:!!2 vehicles available","Estimate!!Total:!!Owner occupied:!!3 vehicles available","Margin of Error!!Total:!!Owner occupied:!!3 vehicles available","Estimate!!Total:!!Owner occupied:!!4 vehicles available","Margin of Error!!Total:!!Owner occupied:!!4 vehicles available","Estimate!!Total:!!Owner occupied:!!5 or more vehicles available","Margin of Error!!Total:!!Owner occupied:!!5 or more vehicles available","Estimate!!Total:!!Renter occupied:","Margin of Error!!Total:!!Renter occupied:","Estimate!!Total:!!Renter occupied:!!No vehicle available","Margin of Error!!Total:!!Renter occupied:!!No vehicle available","Estimate!!Total:!!Renter occupied:!!1 vehicle available","Margin of Error!!Total:!!Renter occupied:!!1 vehicle available","Estimate!!Total:!!Renter occupied:!!2 vehicles available","Margin of Error!!Total:!!Renter occupied:!!2 vehicles available","Estimate!!Total:!!Renter occupied:!!3 vehicles available","Margin of Error!!Total:!!Renter occupied:!!3 vehicles available","Estimate!!Total:!!Renter occupied:!!4 vehicles available","Margin of Error!!Total:!!Renter occupied:!!4 vehicles available","Estimate!!Total:!!Renter occupied:!!5 or more vehicles available","Margin of Error!!Total:!!Renter occupied:!!5 or more vehicles available",
"1400000US37035011602","Census Tract 116.02; Catawba County; North Carolina","2163","209","1716","271","0","19","237","134","667","286","601","246","211","138","0","19","447","234","45","75","59","84","299","242","44","80","0","19","0","19",
"1400000US37035011701","Census Tract 117.01; Catawba County; North Carolina","1826","267","1446","239","19","23","199","101","553","165","359","113","132","78","184","177","380","121","52","50","144","76","113","88","71","54","0","14","0","14",
"1400000US37035011702","Census Tract 117.02; Catawba County; North Carolina","2967","348","2607","353","20","29","851","279","971","256","492","162","221","168","52","55","360","151","16","27","152","102","57","54","33","35","0","19","102","102",
"1400000US37035011801","Census Tract 118.01; Catawba County; North Carolina","2330","245","2049","277","14","23","256","144","886","260","575","173","242","127","76","63","281","144","20","32","170","128","80","70","11","19","0","19","0","19",
"1400000US37035011802","Census Tract 118.02; Catawba County; North Carolina","2329","259","1834","263","99","107","589","188","698","223","301","160","124","91","23","30","495","194","12","20","245","157","101","79","137","102","0","19","0","19",
"1400000US37037020103","Census Tract 201.03; Chatham County; North Carolina","2120","222","1771","219","0","19","171","85","1044","200","459","196","97","70","0","19","349","164","12","19","156","103","135","109","46","48","0","19","0","19",
"1400000US37037020104","Census Tract 201.04; Chatham County; North Carolina","2837","271","2238","269","27","33","477","147","1103","264","428","145","155","145","48","52","599","204","93","52","181","129","325","161","0","19","0","19","0","19",
"1400000US37037020105","Census Tract 201.05; Chatham County; North Carolina","3075","273","2844","266","65","61","769","198","1570","211","321","143","119","140","0","19","231","120","43","57","31","51","106","80","28","33","0","19","23","38",
"1400000US37037020107","Census Tract 201.07; Chatham County; North Carolina","1038","148","942","136","0","14","229","114","406","90","177","77","116","80","14","17","96","83","0","14","39","46","11","15","46","69","0","14","0","14",
"1400000US37037020108","Census Tract 201.08; Chatham County; North Carolina","793","102","661","93","5","8","76","37","331","97","199","82","50","39","0","14","132","77","0","14","60","57","72","51","0","14","0","14","0","14",
"1400000US37037020201","Census Tract 202.01; Chatham County; North Carolina","1366","229","1157","218","22","41","104","86","282","146","407","187","231","126","111","98","209","78","10","22","60","62","98","62","41","41","0","14","0","14",
"1400000US37037020202","Census Tract 202.02; Chatham County; North Carolina","1579","204","1493","219","36","41","236","176","774","204","361","147","76","77","10","15","86","72","0","14","70","69","8","12","0","14","0","14","8","15",
"1400000US37037020203","Census Tract 202.03; Chatham County; North Carolina","1038","177","897","175","21","27","154","144","431","155","198","96","56","42","37","41","141","84","0","14","21","26","76","69","0","14","44","68","0","14",
"1400000US37037020300","Census Tract 203; Chatham County; North Carolina","1105","151","790","164","10","15","84","47","276","92","314","146","78","58","28","29","315","145","8","14","181","149","82","75","18","27","26","41","0","14",
"1400000US37037020401","Census Tract 204.01; Chatham County; North Carolina","2120","261","1415","323","15","23","517","203","428","178","380","198","75","99","0","19","705","236","32","47","220","134","210","161","205","167","38","55","0","19",
"1400000US37037020402","Census Tract 204.02; Chatham County; North Carolina","1739","388","914","178","90","95","126","86","314","127","305","86","60","61","19","30","825","390","93","75","441","354","199","101","69","75","12","21","11","26",
"1400000US37037020500","Census Tract 205; Chatham County; North Carolina","1428","204","1227","222","12","19","193","102","544","205","296","110","51","34","131","53","201","123","9","15","9","15","25","24","142","110","16","26","0","14",
"1400000US37037020600","Census Tract 206; Chatham County; North Carolina","1901","276","1648","305","0","14","492","210","526","181","358","133","190","125","82","105","253","139","0","14","85","80","84","88","62","58","0","14","22","18",
"1400000US37037020702","Census Tract 207.02; Chatham County; North Carolina","2003","313","1732","308","19","20","199","84","678","202","446","238","281","126","109","76","271","110","0","14","88","60","113","81","59","43","11","14","0","14",
"1400000US37037020703","Census Tract 207.03; Chatham County; North Carolina","2497","283","2296","262","63","72","837","185","1216","191","153","67","0","19","27","31","201","111","0","19","67","57","112","89","6","13","16","27","0","19",
"1400000US37037020704","Census Tract 207.04; Chatham County; North Carolina","1265","135","810","166","45","39","267","113","270","105","181","105","47","55","0","14","455","102","95","68","155","59","103","51","102","95","0","14","0","14",
"1400000US37037020801","Census Tract 208.01; Chatham County; North Carolina","2208","288","1390","297","26","34","416","243","582","175","153","113","187","114","26","41","818","286","75","77","524","289","177","125","42","68","0","14","0","14",
"1400000US37037020802","Census Tract 208.02; Chatham County; North Carolina","1077","171","773","162","0","14","126","82","248","99","303","142","57","86","39","59","304","151","0","14","121","99","71","83","63","45","49","67","0","14",
"1400000US37037020803","Census Tract 208.03; Chatham County; North Carolina","1064","256","938","241","12","20","96","64","620","254","167","68","43","33","0","14","126","111","7","12","103","107","16","25","0","14","0","14","0","14",
"1400000US37039930101","Census Tract 9301.01; Cherokee County; North Carolina","1067","178","686","171","34","37","332","150","122","65","149","94","49","53","0","14","381","120","12","20","233","87","100","71","36","34","0","14","0","14",
"1400000US37039930102","Census Tract 9301.02; Cherokee County; North Carolina","1034","196","942","186","12","31","237","147","356","126","104","85","175","99","58","77","92","57","0","14","19","23","73","53","0","14","0","14","0","14",
"1400000US37039930200","Census Tract 9302; Cherokee County; North Carolina","962","169","882","174","41","43","294","119","375","124","69","35","44","51","59","41","80","48","0","14","14","17","66","45","0","14","0","14","0","14",
"1400000US37039930300","Census Tract 9303; Cherokee County; North Carolina","1012","183","844","171","17","20","167","98","386","110","79","48","126","124","69","62","168","87","50","62","54","57","32","34","14","26","18","23","0","14",
"1400000US37039930401","Census Tract 9304.01; Cherokee County; North Carolina","1706","249","1476","213","71","70","397","129","443","176","261","108","202","143","102","46","230","152","16","31","214","147","0","14","0","14","0","14","0","14",
"1400000US37039930402","Census Tract 9304.02; Cherokee County; North Carolina","784","123","528","117","0","14","146","59","160","89","128","73","68","74","26","24","256","82","76","46","122","62","43","30","8","11","7","11","0","14",
"1400000US37039930501","Census Tract 9305.01; Cherokee County; North Carolina","911","151","769","148","24","31","118","49","431","132","162","106","5","8","29","42","142","110","0","14","142","110","0","14","0","14","0","14","0","14",
"1400000US37039930502","Census Tract 9305.02; Cherokee County; North Carolina","1723","250","1326","197","27","23","422","155","541","172","283","127","44","57","9","14","397","223","71","59","235","193","43","35","48","71","0","14","0","14",
"1400000US37039930603","Census Tract 9306.03; Cherokee County; North Carolina","834","182","759","174","18","17","208","79","248","81","225","127","46","45","14","18","75","51","16","24","5","9","54","43","0","14","0","14","0","14",
"1400000US37039930604","Census Tract 9306.04; Cherokee County; North Carolina","954","209","838","215","15","19","338","199","338","101","87","55","52","43","8","14","116","73","27","36","59","53","30","39","0","14","0","14","0","14",
"1400000US37039930605","Census Tract 9306.05; Cherokee County; North Carolina","877","135","805","129","0","14","284","127","278","91","121","74","103","68","19","21","72","51","4","7","33","34","35","38","0","14","0","14","0","14",
"1400000US37039930606","Census Tract 9306.06; Cherokee County; North Carolina","1178","195","1050","187","69","81","392","166","413","107","134","84","42","41","0","14","128","60","0","14","48","45","22","38","47","18","11","15","0","14",
"1400000US37041930101","Census Tract 9301.01; Chowan County; North Carolina","2154","219","1204","220","18","34","235","120","725","221","155","107","71","81","0","14","950","205","226","118","588","192","48","59","60","67","28","50","0","14",
"1400000US37041930102","Census Tract 9301.02; Chowan County; North Carolina","984","127","909","120","13","19","202","95","457","110","211","86","26","23","0","14","75","51","0","14","64","46","11","21","0","14","0","14","0","14",
"1400000US37041930201","Census Tract 9302.01; Chowan County; North Carolina","1918","215","1463","181","8","12","264","106","702","178","245","127","166","82","78","61","455","171","147","137","125","80","138","106","45","43","0","14","0","14",
"1400000US37041930202","Census Tract 9302.02; Chowan County; North Carolina","933","132","597","117","87","56","183","94","148","69","117","55","57","49","5","10","336","125","80","71","69","59","151","101","36","55","0","14","0","14",
"1400000US37043950101","Census Tract 9501.01; Clay County; North Carolina","1382","238","1082","229","0","14","256","140","478","194","188","82","41","45","119","86","300","166","15","24","192","145","85","66","8","14","0","14","0","14",
"1400000US37043950102","Census Tract 9501.02; Clay County; North Carolina","1248","229","1084","213","47","58","254","132","333","146","374","185","45","33","31","47","164","93","15","25","107","83","42","43","0","14","0","14","0","14",
"1400000US37043950201","Census Tract 9502.01; Clay County; North Carolina","1284","214","972","156","57","47","189","89","452","161","139","80","116","80","19","25","312","200","150","167","105","97","50","65","7","12","0","14","0","14",
"1400000US37043950202","Census Tract 9502.02; Clay County; North Carolina","1127","187","886","172","0","14","311","139","412","133","127","71","16","19","20","25","241","105","83","67","78","48","78","71","2","4","0","14","0","14",
"1400000US37045950101","Census Tract 9501.01; Cleveland County; North Carolina","1844","218","1472","208","86","99","281","118","463","141","266","103","239","113","137","81","372","134","20","20","113","59","128","83","109","79","2","3","0","19",
"1400000US37045950102","Census Tract 9501.02; Cleveland County; North Carolina","942","212","794","190","31","42","241","175","237","77","162","64","51","38","72","41","148","99","17","16","85","97","25","28","18","16","3","4","0","14",
"1400000US37045950200","Census Tract 9502; Cleveland County; North Carolina","1585","262","1120","229","43","38","280","121","257","92","371","191","114","60","55","60","465","173","78","71","133","70","113","61","54","43","87","119","0","14",
"1400000US37045950301","Census Tract 9503.01; Cleveland County; North Carolina","1721","235","1407","226","65","66","179","88","717","182","231","89","165","116","50","41","314","131","7","13","137","88","103","71","47","64","10","16","10","16",
"1400000US37045950302","Census Tract 9503.02; Cleveland County; North Carolina","1990","252","1598","285","15","21","187","94","522","229","343","165","473","114","58","70","392","210","34","51","128","111","77","88","62","50","91","144","0","19",
"1400000US37045950400","Census Tract 9504; Cleveland County; North Carolina","2943","348","2393","350","141","117","576","306","839","233","521","229","262","182","54","64","550","199","120","114","191","135","192","114","0","19","0","19","47","77",
"1400000US37045950500","Census Tract 9505; Cleveland County; North Carolina","1356","196","600","155","61","60","109","66","102","78","226","102","44","48","58","52","756","157","146","118","401","141","167","69","29","31","13","18","0","14",
"1400000US37045950601","Census Tract 9506.01; Cleveland County; North Carolina","1531","176","1111","163","39","39","181","88","373","134","255","81","140","80","123","79","420","148","13","20","107","87","192","104","85","60","23","28","0","14",
"1400000US37045950603","Census Tract 9506.03; Cleveland County; North Carolina","1243","193","1120","184","39","32","207","112","297","146","314","153","142","143","121","124","123","87","35","44","14","25","41","58","33","37","0","14","0","14",
"1400000US37045950604","Census Tract 9506.04; Cleveland County; North Carolina","1105","203","654","200","0","14","111","58","334","148","135","98","54","55","20","28","451","156","30","33","131","83","169","133","121","79","0","14","0","14",
"1400000US37045950701","Census Tract 9507.01; Cleveland County; North Carolina","1473","313","1016","226","14","28","226","117","348","115","260","146","156","151","12","19","457","239","27","34","250","208","111","118","36","56","33","52","0","14",
"1400000US37045950702","Census Tract 9507.02; Cleveland County; North Carolina","1708","265","1186","275","61","55","402","167","405","215","266","112","52","50","0","14","522","178","18","24","311","151","193","133","0","14","0","14","0","14",
"1400000US37045950800","Census Tract 9508; Cleveland County; North Carolina","1840","262","1332","181","29","42","277","95","530","164","277","107","121","56","98","63","508","203","29","28","298","130","158","124","23","25","0","14","0","14",
"1400000US37045950900","Census Tract 9509; Cleveland County; North Carolina","1219","212","403","127","25","32","110","100","139","73","64","54","54","53","11","20","816","210","303","157","391","167","122","77","0","14","0","14","0","14",
"1400000US37045951000","Census Tract 9510; Cleveland County; North Carolina","1300","196","852","160","45","52","181","89","407","132","119","76","100","93","0","14","448","139","98","80","248","114","51","42","51","45","0","14","0","14",
"1400000US37045951100","Census Tract 9511; Cleveland County; North Carolina","1495","257","678","261","34","30","141","82","337","226","154","94","11","17","1","20","817","217","61","52","409","172","347","144","0","14","0","14","0","14",
"1400000US37045951200","Census Tract 9512; Cleveland County; North Carolina","2490","327","1625","339","0","19","704","302","728","220","158","108","35","43","0","19","865","237","66","82","628","222","154","127","0","19","17","32","0","19",
"1400000US37045951300","Census Tract 9513; Cleveland County; North Carolina","1073","216","834","224","24","27","186","93","290","186","192","87","114","69","28","32","239","104","18","29","107","67","114","73","0","14","0","14","0","14",
"1400000US37045951400","Census Tract 9514; Cleveland County; North Carolina","2161","247","1671","233","95","92","227","87","808","181","289","125","194","116","58","54","490","142","14","25","214","114","199","118","13","14","35","37","15","22",
"1400000US37045951501","Census Tract 9515.01; Cleveland County; North Carolina","1602","225","1277","181","9","14","221","84","516","155","304","99","198","89","29","28","325","127","47","55","112","76","74","55","55","56","37","64","0","19",
"1400000US37045951502","Census Tract 9515.02; Cleveland County; North Carolina","520","101","333","62","0","14","84","55","123","37","70","34","48","34","8","14","187","108","0","14","37","33","70","56","15","17","65","93","0","14",
"1400000US37045951503","Census Tract 9515.03; Cleveland County; North Carolina","866","109","700","101","7","10","91","37","275","77","211","51","83","48","33","29","166","72","51","60","53","35","11","9","33","40","0","14","18","30",
"1400000US37045951601","Census Tract 9516.01; Cleveland County; North Carolina","1505","173","991","183","24","33","133","55","348","120","216","70","193","81","77","54","514","164","13","17","134","97","180","77","90","102","66","69","31","35",
"1400000US37045951602","Census Tract 9516.02; Cleveland County; North Carolina","1706","224","1129","147","36","28","204","73","351","105","358","118","153","68","27","29","577","223","32","32","380","200","112","82","53","69","0","14","0","14",
"1400000US37047930100","Census Tract 9301; Columbus County; North Carolina","1571","160","1197","154","23","21","317","125","367","114","312","133","159","90","19","24","374","144","9","14","77","50","177","85","78","86","17","25","16","19",
"1400000US37047930200","Census Tract 9302; Columbus County; North Carolina","709","102","606","97","30","20","107","49","201","84","137","43","29","21","102","36","103","40","13","13","54","29","8","8","8","12","15","23","5","7",
"1400000US37047930300","Census Tract 9303; Columbus County; North Carolina","842","102","701","89","13","11","150","49","241","69","135","41","103","43","59","26","141","43","26","20","13","11","67","34","25","20","10","11","0","14",
"1400000US37047930400","Census Tract 9304; Columbus County; North Carolina","1316","200","1152","196","10","16","301","121","466","123","321","170","50","38","4","7","164","87","0","14","45","45","82","75","15","20","9","15","13","18",
"1400000US37047930500","Census Tract 9305; Columbus County; North Carolina","1608","250","1247","225","29","22","460","204","333","115","175","74","138","72","112","92","361","109","67","64","116","64","123","89","26","24","29","33","0","14",
"1400000US37047930600","Census Tract 9306; Columbus County; North Carolina","1296","206","799","183","4","6","231","115","315","91","147","73","37","29","65","56","497","178","9","12","169","85","187","121","116","108","16","22","0","14",
"1400000US37047930700","Census Tract 9307; Columbus County; North Carolina","1683","212","1236","217","51","46","352","130","540","143","126","106","149","119","18","28","447","118","76","60","173","88","132","66","44","44","22","35","0","14",
"1400000US37047930800","Census Tract 9308; Columbus County; North Carolina","1494","216","1148","184","11","17","325","113","338","95","278","95","96","53","100","102","346","135","41","64","167","108","108","78","30","27","0","14","0","14",
"1400000US37047930900","Census Tract 9309; Columbus County; North Carolina","1622","229","705","195","32","33","179","86","249","148","191","106","15","20","39","62","917","196","181","97","627","182","43","65","39","46","0","14","27","37",
"1400000US37047931000","Census Tract 9310; Columbus County; North Carolina","1801","253","1276","229","29","43","456","181","281","156","357","136","112","97","41","64","525","173","77","83","221","117","140","93","70","63","17","27","0","14",
"1400000US37047931100","Census Tract 9311; Columbus County; North Carolina","1369","187","963","161","52","47","207","112","342","98","155","98","163","85","44","51","406","184","8","14","99","67","153","110","80","86","39","54","27","53",
"1400000US37047931201","Census Tract 9312.01; Columbus County; North Carolina","1326","199","838","170","18","16","278","129","341","115","87","51","55","44","59","40","488","136","26","25","256","123","138","81","68","63","0","14","0","14",
"1400000US37047931202","Census Tract 9312.02; Columbus County; North Carolina","613","133","555","129","4","8","168","99","225","79","64","46","27","35","67","104","58","37","0","14","14","16","30","32","14","23","0","14","0","14",
"1400000US37047931301","Census Tract 9313.01; Columbus County; North Carolina","902","163","683","144","128","112","193","113","109","71","44","59","209","108","0","14","219","169","43","57","63","62","113","151","0","14","0","14","0","14",
"1400000US37047931302","Census Tract 9313.02; Columbus County; North Carolina","1075","228","787","224","0","14","112","69","120","60","307","178","192","166","56","44","288","157","8","15","249","153","31","26","0","14","0","14","0","14",
"1400000US37049960101","Census Tract 9601.01; Craven County; North Carolina","1701","163","1533","159","9","15","367","108","847","177","264","136","39","30","7","11","168","95","0","14","50","48","97","83","0","14","0","14","21","35",
"1400000US37049960102","Census Tract 9601.02; Craven County; North Carolina","2006","323","1415","214","18","21","255","111","437","124","467","194","135","91","103","69","591","291","25","30","321","265","159","113","86","87","0","14","0","14",
"1400000US37049960201","Census Tract 9602.01; Craven County; North Carolina","1686","418","1241","416","8","15","705","374","220","137","272","123","3","17","33","34","445","152","193","142","66","68","120","68","66","61","0","14","0","14",
"1400000US37049960202","Census Tract 9602.02; Craven County; North Carolina","1745","221","1429","253","85","81","248","125","636","231","311","130","146","65","3","5","316","121","49","41","149","72","98","97","3","5","17","19","0","14",
"1400000US37049960301","Census Tract 9603.01; Craven County; North Carolina","1090","171","1007","175","0","14","142","100","408","148","317","115","57","54","83","61","83","59","11","18","30","38","32","37","10","17","0","14","0","14",
"1400000US37049960302","Census Tract 9603.02; Craven County; North Carolina","1597","264","1132","283","19","16","335","164","296","121","283","190","144","70","55","51","465","180","31","23","148","77","231","150","55","78","0","14","0","14",
"1400000US37049960401","Census Tract 9604.01; Craven County; North Carolina","2065","197","1452","208","73","82","564","169","584","159","184","123","47","41","0","14","613","180","0","14","322","143","215","116","70","78","6","11","0","14",
"1400000US37049960402","Census Tract 9604.02; Craven County; North Carolina","1692","227","1177","184","56","64","310","119","582","156","112","42","86","89","31","47","515","172","72","45","296","118","117","129","24","23","6","10","0","14",
"1400000US37049960403","Census Tract 9604.03; Craven County; North Carolina","1741","97","1616","104","0","14","244","98","830","156","349","141","176","104","17","29","125","67","0","14","75","67","24","22","26","25","0","14","0","14",
"1400000US37049960404","Census Tract 9604.04; Craven County; North Carolina","1361","134","1229","145","27","37","455","130","512","124","198","85","37","26","0","14","132","80","0","14","38","29","94","79","0","14","0","14","0","14",
"1400000US37049960501","Census Tract 9605.01; Craven County; North Carolina","1908","207","761","226","0","14","329","146","111","82","233","162","0","14","88","116","1147","240","142","76","354","112","618","263","26","53","7","11","0","14",
"1400000US37049960502","Census Tract 9605.02; Craven County; North Carolina","1926","250","1073","247","41","63","374","142","413","145","109","62","39","45","97","121","853","239","251","123","284","160","318","161","0","14","0","14","0","14",
"1400000US37049960600","Census Tract 9606; Craven County; North Carolina","2447","336","1332","277","117","110","314","149","660","240","63","76","164","94","14","29","1115","238","152","116","507","226","420","152","36","52","0","19","0","19",
"1400000US37049960700","Census Tract 9607; Craven County; North Carolina","817","99","481","66","10","13","166","49","159","62","118","39","20","22","8","9","336","84","42","34","236","74","42","26","16","14","0","14","0","14",
"1400000US37049960800","Census Tract 9608; Craven County; North Carolina","1126","190","502","152","21","21","205","91","193","116","53","53","30","47","0","14","624","158","312","126","161","74","111","70","40","38","0","14","0","14",
"1400000US37049960900","Census Tract 9609; Craven County; North Carolina","991","161","441","102","6","9","135","76","148","51","144","81","8","12","0","14","550","147","240","129","193","85","98","86","19","25","0","14","0","14",
"1400000US37049961002","Census Tract 9610.02; Craven County; North Carolina","1650","210","1363","216","46","41","412","127","488","135","327","159","66","77","24","21","287","127","0","14","137","92","82","50","49","48","0","14","19","31",
"1400000US37049961003","Census Tract 9610.03; Craven County; North Carolina","2926","411","2702","420","0","19","733","312","1423","238","349","176","128","91","69","60","224","154","0","19","79","89","135","130","10","18","0","19","0","19",
"1400000US37049961004","Census Tract 9610.04; Craven County; North Carolina","2059","272","1861","280","124","101","387","174","513","205","646","299","177","119","14","23","198","112","0","19","63","62","109","95","26","44","0","19","0","19",
"1400000US37049961101","Census Tract 9611.01; Craven County; North Carolina","2044","222","1491","172","20","24","173","89","759","142","318","146","117","70","104","97","553","240","0","19","86","84","379","217","88","59","0","19","0","19",
"1400000US37049961102","Census Tract 9611.02; Craven County; North Carolina","1405","171","931","143","22","35","294","100","255","97","223","117","88","71","49","54","474","162","4","8","156","90","243","128","0","14","71","83","0","14",
"1400000US37049961201","Census Tract 9612.01; Craven County; North Carolina","894","134","18","30","0","14","0","14","18","30","0","14","0","14","0","14","876","139","6","8","311","116","428","109","122","94","9","18","0","14",
"1400000US37049961202","Census Tract 9612.02; Craven County; North Carolina","217","136","11","17","0","14","0","14","11","17","0","14","0","14","0","14","206","134","0","14","120","122","71","39","13","17","2","4","0","14",
"1400000US37049961301","Census Tract 9613.01; Craven County; North Carolina","1125","150","666","112","22","25","148","54","257","96","191","78","46","30","2","4","459","152","11","13","174","80","158","116","73","58","16","24","27","43",
"1400000US37049961302","Census Tract 9613.02; Craven County; North Carolina","1624","207","755","152","0","14","151","79","370","147","205","97","29","40","0","14","869","223","95","105","374","151","217","104","13","21","170","162","0","14",
"1400000US37049961303","Census Tract 9613.03; Craven County; North Carolina","1629","261","1389","295","26","26","237","115","714","214","222","115","160","97","30","28","240","113","33","37","48","53","117","83","42","56","0","14","0","14",
"1400000US37051000200","Census Tract 2; Cumberland County; North Carolina","978","133","238","86","21","23","53","34","115","77","28","28","0","14","21","20","740","122","325","118","303","66","73","51","39","38","0","14","0","14",
"1400000US37051000500","Census Tract 5; Cumberland County; North Carolina","920","109","423","100","13","18","131","42","128","57","115","65","27","24","9","12","497","84","85","38","220","60","101","41","70","56","21","22","0","14",
"1400000US37051000600","Census Tract 6; Cumberland County; North Carolina","2393","204","1285","182","54","67","323","118","648","141","203","82","57","53","0","19","1108","172","159","71","580","153","356","126","13","21","0","19","0","19",
"1400000US37051000701","Census Tract 7.01; Cumberland County; North Carolina","2435","243","1726","263","40","34","567","136","651","145","378","227","55","41","35","33","709","174","75","58","388","113","226","103","20","32","0","19","0","19",
"1400000US37051000702","Census Tract 7.02; Cumberland County; North Carolina","960","77","691","95","44","37","153","53","335","79","111","52","26","24","22","21","269","74","25","23","120","51","93","41","31","22","0","14","0","14",
"1400000US37051000800","Census Tract 8; Cumberland County; North Carolina","1290","174","608","155","30","27","175","54","320","149","72","35","11","14","0","14","682","108","85","48","394","82","176","63","0","14","18","20","9","16",
"1400000US37051000900","Census Tract 9; Cumberland County; North Carolina","2241","208","1072","205","16","24","442","174","419","105","165","77","16","27","14","22","1169","140","144","71","722","150","291","114","12","19","0","14","0","14",
"1400000US37051001000","Census Tract 10; Cumberland County; North Carolina","1166","195","161","65","0","14","62","44","58","33","41","33","0","14","0","14","1005","194","403","189","414","97","147","60","22","24","19","29","0","14",
"1400000US37051001100","Census Tract 11; Cumberland County; North Carolina","1355","125","805","128","47","36","331","114","229","66","128","57","51","37","19","23","550","89","83","49","274","73","153","70","31","31","9","15","0","14",
"1400000US37051001200","Census Tract 12; Cumberland County; North Carolina","2493","278","893","140","53","50","306","104","376","114","129","77","19","23","10","17","1600","297","587","289","765","187","184","86","39","48","25","29","0","19",
"1400000US37051001401","Census Tract 14.01; Cumberland County; North Carolina","1526","203","1127","200","43","33","404","189","341","94","225","87","31","28","83","50","399","136","84","63","190","106","74","52","24","36","27","30","0","14",
"1400000US37051001402","Census Tract 14.02; Cumberland County; North Carolina","969","126","338","94","11","17","42","39","150","67","103","82","23","30","9","16","631","111","165","73","278","100","99","59","81","61","0","14","8","13",
"1400000US37051001500","Census Tract 15; Cumberland County; North Carolina","1043","167","835","154","90","116","169","70","330","92","137","80","61","38","48","31","208","81","44","27","76","54","67","42","21","23","0","14","0","14",
"1400000US37051001603","Census Tract 16.03; Cumberland County; North Carolina","1403","126","814","91","14","20","240","73","298","62","195","57","30","26","37","26","589","138","120","42","295","128","129","56","27","27","18","21","0","14",
"1400000US37051001604","Census Tract 16.04; Cumberland County; North Carolina","2973","215","1444","189","36","34","449","117","632","161","199","88","128","69","0","19","1529","217","140","77","686","174","593","149","93","72","0","19","17","26",
"1400000US37051001605","Census Tract 16.05; Cumberland County; North Carolina","1495","123","987","128","39","39","228","89","473","114","200","79","47","28","0","14","508","108","39","36","247","83","116","68","106","65","0","14","0","14",
"1400000US37051001606","Census Tract 16.06; Cumberland County; North Carolina","1411","123","734","103","20","32","238","90","267","83","167","64","42","37","0","14","677","146","42","49","410","105","174","116","44","48","7","11","0","14",
"1400000US37051001701","Census Tract 17.01; Cumberland County; North Carolina","1148","122","633","100","10","16","297","97","193","55","96","60","19","22","18","25","515","130","61","74","192","90","226","103","34","38","2","14","0","14",
"1400000US37051001702","Census Tract 17.02; Cumberland County; North Carolina","2160","168","1350","174","41","46","466","127","575","158","215","117","32","34","21","30","810","174","65","51","356","116","275","111","99","69","15","25","0","19",
"1400000US37051001800","Census Tract 18; Cumberland County; North Carolina","1001","101","488","93","10","14","168","59","139","50","136","80","20","22","15","19","513","92","62","43","307","87","61","38","74","52","9","15","0","14",
"1400000US37051001901","Census Tract 19.01; Cumberland County; North Carolina","880","91","488","81","45","26","117","38","229","67","65","42","0","14","32","20","392","85","28","24","194","53","132","67","38","27","0","14","0","14",
"1400000US37051001902","Census Tract 19.02; Cumberland County; North Carolina","1728","161","990","108","26","25","456","93","314","73","167","59","16","19","11","18","738","154","29","27","249","66","341","138","100","55","19","22","0","14",
"1400000US37051001903","Census Tract 19.03; Cumberland County; North Carolina","1609","110","671","112","34","31","307","75","193","70","98","51","6","10","33","25","938","115","50","32","489","108","337","101","47","33","0","14","15","26",
"1400000US37051002001","Census Tract 20.01; Cumberland County; North Carolina","1477","115","465","87","16","19","136","57","152","60","52","37","31","30","78","43","1012","130","45","45","527","109","374","114","55","38","11","18","0","14",
"1400000US37051002002","Census Tract 20.02; Cumberland County; North Carolina","2071","240","705","134","40","44","224","93","311","110","123","71","0","14","7","15","1366","271","72","64","641","179","445","130","208","241","0","14","0","14",
"1400000US37051002100","Census Tract 21; Cumberland County; North Carolina","2050","171","815","158","11","18","215","145","404","87","128","57","49","32","8","12","1235","137","209","74","714","143","276","76","30","29","6","9","0","14",
"1400000US37051002200","Census Tract 22; Cumberland County; North Carolina","1414","143","247","110","7","11","105","99","81","41","36","24","18","16","0","14","1167","95","101","47","678","111","319","68","58","38","0","14","11","17",
